Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
27.05.18 17:30;27.05.18 18:04;Porto;SWISS;LX2079;ARRIVED;;34
27.05.18 17:45;;Barcelona;VUELING;VY6201;CANCELLED;;
27.05.18 17:45;27.05.18 19:56;Vienna;EASYJET;EZS1486;ARRIVED;;131
27.05.18 17:50;;Madrid;IBERIA;IB3486;CANCELLED;;
27.05.18 17:55;27.05.18 18:04;Newcastle;EASYJET;EZY6467;ARRIVED;;9
27.05.18 18:00;27.05.18 18:36;Frankfurt;LUFTHANSA;LH1224;ARRIVED;;36
27.05.18 18:05;;Munich;EASYJET;EZS1314;CANCELLED;;
27.05.18 18:10;27.05.18 18:39;Helsinki;FINNAIR;AY1533;ARRIVED;;29
27.05.18 18:10;27.05.18 18:46;Brussels;BRUSSELS AIRLINES;SN2721;ARRIVED;;36
27.05.18 18:10;27.05.18 20:25;Stockholm;EASYJET;EZS1574;ARRIVED;;135
27.05.18 18:15;27.05.18 18:17;Athens;SWISS;LX1823;ARRIVED;;2
27.05.18 18:15;27.05.18 18:51;London LHR;BRITISH AIRWAYS;BA734;ARRIVED;;36
27.05.18 18:30;27.05.18 18:25;Budapest;EASYJET;EZS1334;ARRIVED;;-5
27.05.18 18:30;27.05.18 19:36;Paris ORY;EASYJET;EZS1394;ARRIVED;;66
27.05.18 18:35;27.05.18 20:22;Rabat;ROYAL AIR MAROC;AT4430;ARRIVED;;107
27.05.18 18:40;;Barcelona;EASYJET;EZS1408;CANCELLED;;
27.05.18 18:40;27.05.18 18:49;Copenhagen;SAS SCANDINAVIAN AIRLINES;SK617;ARRIVED;;9
27.05.18 18:40;27.05.18 18:55;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1933;ARRIVED;;15
27.05.18 18:45;27.05.18 18:52;Frankfurt;LUFTHANSA;LH1226;ARRIVED;;7
27.05.18 18:50;27.05.18 20:47;Zurich;SWISS;LX2810;ARRIVED;;117
27.05.18 18:55;27.05.18 19:15;Warsaw;LOT POLISH AIRLINES;LO415;ARRIVED;;20
27.05.18 19:00;27.05.18 20:44;Nice;EASYJET;EZS1386;ARRIVED;;104
27.05.18 19:00;27.05.18 20:58;Bordeaux;EASYJET;EZS1374;ARRIVED;;118
27.05.18 19:20;27.05.18 19:41;Vienna;AUSTRIAN;OS575;ARRIVED;;21
27.05.18 19:20;27.05.18 19:43;Porto;TAP PORTUGAL;TP942;ARRIVED;;23
27.05.18 19:20;27.05.18 20:43;Lisbon;SWISS;LX2093;ARRIVED;;83
27.05.18 19:25;27.05.18 19:34;Dusseldorf;EUROWINGS;EW9748;ARRIVED;;9
27.05.18 19:25;27.05.18 20:00;Lille;EASYJET;EZS1472;ARRIVED;;35
