Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
07.06.18 20:40;07.06.18 20:29;Moscow SVO;AEROFLOT;SU2382;ARRIVED;;-11
07.06.18 20:45;07.06.18 20:41;Bristol;EASYJET;EZY6157;ARRIVED;;-4
07.06.18 20:45;07.06.18 21:07;Venice;EASYJET;EZY3325;ARRIVED;;22
07.06.18 20:50;07.06.18 20:52;Luxembourg;LUXAIR;LG8367;ARRIVED;;2
07.06.18 20:55;07.06.18 21:35;London LTN;EASYJET;EZY2061;ARRIVED;;40
07.06.18 21:05;07.06.18 21:12;Manchester;EASYJET;EZY1953;ARRIVED;;7
07.06.18 21:05;07.06.18 21:15;London LGW;EASYJET;EZY8480;ARRIVED;;10
07.06.18 21:20;07.06.18 22:34;Toulouse;EASYJET;EZS1476;ARRIVED;;74
07.06.18 21:35;07.06.18 21:27;Zurich;SWISS;LX2816;ARRIVED;;-8
07.06.18 21:35;07.06.18 21:40;Nice;SWISS;LX529;ARRIVED;;5
07.06.18 21:45;07.06.18 21:43;London LCY;SWISS;LX447;ARRIVED;;-2
07.06.18 21:50;07.06.18 21:53;Vienna;AUSTRIAN;OS577;ARRIVED;;3
07.06.18 21:55;07.06.18 21:49;Paris CDG;AIR FRANCE;AF1242;ARRIVED;;-6
07.06.18 21:55;07.06.18 22:22;Brussels;BRUSSELS AIRLINES;SN2725;ARRIVED;;27
07.06.18 22:00;07.06.18 23:04;London LHR;SWISS;LX357;ARRIVED;;64
07.06.18 22:05;07.06.18 21:58;Madrid;IBERIA;IB3482;ARRIVED;;-7
07.06.18 22:05;07.06.18 23:26;Frankfurt;LUFTHANSA;LH1228;ARRIVED;;81
07.06.18 22:10;07.06.18 22:49;Paris ORY;EASYJET;EZS1392;ARRIVED;;39
